id,years,place,abbr,lat,lon
06,4,California,CA,36.7783,-119.4179
01,4,Alabama,AL,32.806671,-86.791130
02,4,Alaska,AK,61.370716,-152.404419
04,4,Arizona,AZ,33.729759,-111.431221
05,4,Arkansas,AR,34.969704,-92.373123
08,4,Colorado,CO,39.059811,-105.311104
09,2,Connecticut,CT,41.597782,-72.755371
10,1,Delaware,DE,39.318523,-75.507141
12,4,Florida,FL,27.766279,-81.686783
13,4,Georgia,GA,33.040619,-83.643074
15,4,Hawaii,HI,21.094318,-157.498337
16,4,Idaho,ID,44.240459,-114.478828
17,4,Illinois,IL,40.349457,-88.986137
18,4,Indiana,IN,39.849426,-86.258278
19,4,Iowa,IA,42.011539,-93.210526
20,4,Kansas,KS,38.526600,-96.726486
21,4,Kentucky,KY,37.668140,-84.670067
22,2,Louisiana,LA,31.169546,-91.867805
23,2,Maine,ME,44.693947,-69.381927
24,1,Maryland,MD,39.063946,-76.802101
25,2,Massachusetts,MA,42.230171,-71.530106
26,4,Michigan,MI,43.326618,-84.536095
27,4,Minnesota,MN,45.694454,-93.900192
28,4,Mississippi,MS,32.741646,-89.678696
29,4,Missouri,MO,38.456085,-92.288368
30,4,Montana,MT,46.921925,-110.454353
31,4,Nebraska,NE,41.125370,-98.268082
32,4,Nevada,NV,38.313515,-117.055374
33,2,New Hampshire,NH,43.452492,-71.563896
34,2,New Jersey,NJ,40.298904,-74.521011
35,4,New Mexico,NM,34.840515,-106.248482
36,2,New York,NY,42.165726,-74.948051
37,2,North Carolina,NC,35.630066,-79.806419
38,4,North Dakota,ND,47.528912,-99.784012
39,4,Ohio,OH,40.388783,-82.764915
40,4,Oklahoma,OK,35.565342,-96.928917
41,4,Oregon,OR,44.572021,-122.070938
42,4,Pennsylvania,PA,40.590752,-77.209755
44,1,Rhode Island,RI,41.680893,-71.511780
45,4,South Carolina,SC,33.856892,-80.945007
46,4,South Dakota,SD,44.299782,-99.438828
47,4,Tennessee,TN,35.747845,-86.692345
48,4,Texas,TX,31.054487,-97.563461
49,4,Utah,UT,40.150032,-111.862434
50,2,Vermont,VT,44.045876,-72.710686
51,2,Virginia,VA,37.769337,-78.169968
53,4,Washington,WA,47.400902,-121.490494
54,4,West Virginia,WV,38.491226,-80.954453
55,4,Wisconsin,WI,44.268543,-89.616508
56,4,Wyoming,WY,42.755966,-107.302490
